filename,relevant_text_segment,assigned_subject
11190453.pdf,"del trabajo consiste en proponer un estándar normativo general para la práctica y valoración de la declaración testimonial de niños, niñas y adolescentes en el ordenamiento procesal chileno, que cumpla con las garantías del debido proceso -particularmente los derechos de los litigantes para presentar su prueba, controlar la prueba de la contraria y obtener una sentencia motivada racionalmente- y la protección integral de los derechos de la niñez. En vista de los objetivos que se pretenden alcanzar con la investigación propuesta, esta tendrá carácter documental y bibliográfico. En primer...",Derecho Procesal
11190460.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Jaime Gajardo Falcón Modelos de interpretación de los derechos fundamentales en contextos multiculturales y sus implicancias en los sistemas constitucionales El fenómeno multicultural ha dejado al descubierto la falta de reconocimiento normativo de, entre otros, la diversidad cultural y las perspectivas sociales de los grupos desaventajados (por ejemplo: pueblos indígenas, migrantes, minorías culturales o lingüísticas y minorías nacionales) que habitan en nuestras sociedades. Así, en el desafío de la multiculturalidad tiene un papel importante, la incorporación de la perspectiva multicultural en la interpretación de los casos difíciles que conozcan los tribunales supremos o constitucionales que involucren derechos...",Derecho Político y Constitucional
11190464.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: DOMINIQUE HERVÉ ESPEJO Determinación de Reglas y Criterios de Justicia Ambiental en la Fiscalización, Sanción y Cumplimiento Ambiental Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Los porcentajes de incumplimiento ambiental en Chile son altos.",Derecho de los Recursos Naturales
11190492.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Christian Viera Álvarez La Constitución económica chilena y algunos desafíos políticos y sociales Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). En la presente investigación se pretende analizar el estatuto de la Constitución económica chilena.",Derecho Político y Constitucional
11190543.pdf,Proponer criterios de verificación de asimetría en las relaciones B2B. OBJETIVOS ESPECÍFICOS: 1. Sistematizar el tratamiento que la jurisprudencia y doctrina chilena ha dado a la asimetría en las relaciones entre empresarios. 2. Sistematizar el tratamiento que la doctrina y la jurisprudencia comparada ha dado a la asimetría en las relaciones entre empresarios. 3. Comparar y contrastar el tratamiento que la doctrina y la jurisprudencia chilena y comparada han dado a la asimetría entre empresarios. 4. Extraer criterios de verificación de asimetría en las relaciones entre empresarios aplicables...,Derecho Civil
11190629.pdf,"de la presente investigación es formalizar las normas atributivas de potestades de creación de normas mediante el análisis lógico de las reglas constitutivas, partiendo por el concepto mínimo de regla constitutiva de Searle, hasta llegar a formalizar las reglas constitutivas en el sentido de Conte, con particular énfasis en las reglas eidético-constitutivas, para poder clarificar su forma lógica. Son objetivos específicos los siguientes: a) llevar a cabo un análisis lógico del concepto mínimo de regla constitutiva dado por Searle; b) llevar a cabo un análisis lógico de los tres tipos de...",Derecho Administrativo y Regulatorio
11190725.pdf,"de esta propuesta es identificar y desarrollar una alternativa normativa que no ha sido explorada en el conflicto en torno a los recursos naturales y el pueblo mapuche. En este sentido, son objetivos específicos de la propuesta: 1. Relevar el valor cultural del medioambiente para los indígenas en el ordenamiento jurídico nacional. 2. Diagnosticar los vacíos y deficiencias normativas en el ordenamiento territorial que impiden la debida protección de los recursos naturales como su rendimiento cultural para el pueblo mapuche, con especial atención a los mecanismos de participación ciudadana. 3....",Derecho de los Recursos Naturales
11190877.pdf,"de la investigación propuesta consiste Analizar los principales problemas dogmáticos descritos de los delitos concursales y del delito de alzamiento de bienes del 466. Por otra parte, los objetivos específicos del proyecto son los siguientes: 1) Determinarelbienjurídicoprotegidoenelconjuntodefigurasdelosdelitosconcursales,lanaturaleza jurídica de los delitos de concurso y alzamiento de bienes, la estructura de sus tipos y su iter criminis 2) Determinarelcontenidoyalcancedelaconductatípicadeldelitodelart.463atravésdelaaplicación de criterios de imputación objetiva del comportamiento y del...",Derecho Penal
11190924.pdf,"Los objetivos generales de esta investigación son dos: 1- Demostrar que el sistema dicotómico de capacidad/incapacidad vigente en nuestro país, así como los mecanismos de protección de las personas declaradas incapaces son insuficientes e ineficientes, en tanto no cubren las situaciones intermedias en las que una persona, sin verse privada de razón, puede requerir de ciertos apoyos o incluso de la representación que no signifique su incapacidad o incapacitación. 2- Proponer principios y mecanismos flexibles de protección que, partiendo de la base de la plena capacidad como regla general,...",Derecho Económico y Comercial
11191058.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Lorena Carvajal Arenas El rol de la pyme en las cadenas de suministro sostenibles Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). A la fecha existe un creciente interés académico en la sostenibilidad empresarial.",Derecho Económico y Comercial
1190014.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Fernando Atria Lemaitre Posesión y propiedad: la emergencia de la normatividad desde la facticidad El proyecto desarrolla una hipótesis central (HC): el derecho de cosas (de bienes, etc) en general es un régimen jurídico institucionalizado que pretende hacer probable la realidad material del aprovechamiento privado de las cosas y así, el intercambio impersonal. Esto se manfiesta de modo especialmente perspicuo en el caso de la posesión y el dominio de bienes inmuebles. Se trata de un régimen institucionalizado, es decir, un régimen construido sobre la base de conceptos normativos y que supone la existencia de poderes normativos y no solo la regulación de hechos brutos.",Derecho Civil
1190016.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Mauricio Duce J. Mecanismos de corrección y reparación de condenas e imputaciones erróneas: un análisis dogmático, empírico y comparado No existe sistema de justicia criminal en el mundo que pueda impedir que en algunos casos se cometan errores. Dentro de la multiplicidad de los mismos, el foco de esta investigación estará en aquellos que se traducen en la condena de una persona inocente (“condenas erróneas”) y en otros que se producen al adoptarse decisiones equivocadas en etapas previas al juicio sin llegar a una sentencia definitiva, por ejemplo, casos con prisión preventiva extendida y con posterior sobreseimiento del imputado basado en un aspecto que se conocía desde temprano en el desarrollo de la investigación y que pudo...",Derecho Procesal
1190099.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: EDUARDO TEODORO JEQUIER LEHUEDÉ EL ARBITRAJE DE CONSUMO EN CHILE. ANÁLISIS CRÍTICO Y PLANTEAMIENTOS PARA UNA INDISPENSABLE REVISIÓN DE LEGE FERENDA La situación del arbitraje de consumo en Chile reclama una profunda revisión. Su falta de regulación legal, más allá de la muy escueta referencia que hace la Ley N°19.496 al pacto arbitral en los contratos de adhesión y al sistema de “arbitraje financiero” (de escasa o acaso nula aplicación práctica), se traduce en que el arbitraje interno de los conflictos de consumo se rige, a falta de regulaciones especiales, por las mismas normas y principios configuradores del arbitraje de asuntos patrimoniales en general.",Derecho Económico y Comercial
1190111.pdf,"de esta investigación es proponer un régimen de acciones especiales para la protección, en el ámbito civil, del derecho del obtentor de nuevas variedades vegetales. De allí entonces, que los objetivos específicos de la investigación propuesta son: (1) Caracterizar la situación jurídica actual del derecho del obtentor vegetal en cuanto a su régimen jurídico general. (2) Evaluar críticamente el alcance que la jurisprudencia le da al objeto del derecho del obtentor. (3) Formular, de acuerdo con el ordenamiento jurídico vigente, un conjunto de remedios, que protejan efectivamente el derecho del...",Filosofía del Derecho
1190199.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Schmitt frente a Gadamer. El pensamiento de la comprensión jurídica como hermenéutica de la existencia En el presente proyecto se pretende, a partir de una consideración de toda la obra de Carl Schmitt y de la atención a la teoría de la comprensión desarrollada por Gadamer (especialmente: Wahrheit und Methode 1, 330-346 ), someter a prueba la siguiente hipótesis: en la base del pensamiento de Schmitt radica una teoría general de la comprensión desarrollada a partir de una reflexión sobre la comprensión jurídica. Se trata de una teoría de la comprensión que considera reflexivamente las condiciones de la comprensión y se distancia de posiciones comprensivas extremas, que Schmitt identifica con lo que llama, usando una...",Derecho Procesal
1190200.pdf,"(i) Demostrar que la publicidad comercial jurídicamente se manifiesta de variadas formas, pudiendo calificarse, según el caso, como una simple comunicación, propuesta de tratativas, constituir una oferta o integrarse al contrato, determinación que incidirá en la calificación jurídica del problema y en la tutela aplicable; (ii) evidenciar que se encuentra regulada fragmentada y heterogéneamente en nuestro ordenamiento jurídico, advirtiéndose, por una parte, la autorregulación publicitaria y, por otra, la regulación positiva contenida en las Leyes 19.496, 20.169 y 20.606 que ofrecen un diverso...",Derecho Económico y Comercial
1190329_Resumen_Abstract.pdf,"Contenido: RESUMEN: NombFreraIncve.s: co Título Proyecto: Estudio sobre las formas de producción de la declaración de los niños, niñas y adolescentes. De cara a su adecuada comprensión y aplicación en la justicia de familia chilena. Francesco Carretta Muñoz §1. Planteo y objetivos.",Derecho Procesal
1190423.pdf,"es determinar cuál es el contenido normativo de los derechos de acceso ambiental a la luz de los estándares del derecho internacional, y, particularmente, del Acuerdo de Escazú, en su actual estado de desarrollo y contrastarlos con el derecho interno, tanto en cuanto al estándar normativo como en cuanto a los mecanismos de concreción específicos de los referidos derechos de acceso. Como consecuencia de ello, elaborar una matriz con la sistematización de los estándares internacionales anteriormente mencionados. Objetivos específicos: 1. Analizar los estándares que emanan del derecho...",Derecho Internacional
1190434.pdf,", analizar de manera crítica la regulación del ejercicio de derechos fundamentales de las personas con discapacidad mental (PDM) en el sistema jurídico chileno desde una perspectiva de derechos humanos. Para ello se identificarán las tensiones entre la regulación nacional y las obligaciones establecidas por la Convención sobre los Derechos de las Personas con Discapacidad (CDPD) y se presentará un marco teórico y jurídico para el ejercicio de derechos fundamentales que solucione adecuadamente la demanda por igual reconocimiento de las personas con discapacidad ante la ley y satisfaga las...",Derecho Político y Constitucional
1190472.pdf,", lograr una propuesta dogmática sobre la prescripción extintiva y una propuesta de proyecto de ley que establezca un orden deseable en torno a la prescripción extintiva. Para este cometido determinamos como objetivos específicos: 1. Demostrar la ambigüedad, insuficiencia e incoherencia del régimen legal de la prescripción extintiva en el Código Civil y en su aplicación por los tribunales de justicia. 2. Demostrar el equivoco de regular en conjunto la prescripción extintiva con aquella adquisitiva. 3. Delimitar lo público y lo privado en el régimen legal dela prescripción, mostrando una...",Filosofía del Derecho
1190486.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Javier Infante Martin Centralización, Jerarquización e Ilustración Política en el Chile Borbónico. Pervivencia del imaginario ilustrado en la República temprana. Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados.",Derecho Procesal
1190580.pdf,"La investigación persigue demostrar que el derecho del niño, niña o adolescente (NNA) a la vida familiar no se encuentra consagrado adecuadamente en el ordenamiento jurídico chileno. Esta desprotección resulta particularmente grave en contextos de separación del NNA de su familia y entorno social debido a vulneraciones de sus derechos, pues el Estado chileno no provee de mecanismos alternativos de cuidado eficaces y que garanticen su bienestar conforme a los estándares internacionales vigentes en la materia. Los objetivos generales del proyecto son: 1.- Estudiar el derecho a la vida familiar...",Derecho Administrativo y Regulatorio
1190702.pdf,de la investigación es analizar en qué condiciones las palabras técnicas y los conceptos jurídicos indeterminados incluidos en la ley imponen a los jueces una carga de argumentación mayor en orden a maximizar la claridad del lenguaje jurídico. Los objetivos específicos son: (1) Analizar los modos en que las palabras técnicas y los conceptos jurídicos indeterminados se presentan en la legislación y cómo ello condiciona las operaciones de interpretación e integración del derecho que debe realizar el juez. (2) Analizar las técnicas de interpretación e integración del derecho que están a...,Filosofía del Derecho
1190895.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: RAUL MADRID LA DECONSTRUCCIÓN DEL DERECHO. ANÁLISIS DE TRES BINOMIOS JURÍDICOS EN DISCUSIÓN. Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados.",Derecho Internacional
1191000.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Irene Rojas Miño Definición de los instrumentos jurídicos que garanticen la igualdad de remuneraciones entre mujeres y hombres Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). A partir de la verificación de la brecha salarial entre hombres y mujeres, la que tiene como una de sus causas la discriminación de remuneraciones en perjuicio de las mujeres, este Proyecto plantea un estudio que permita definir los instrumentos jurídicos que en Chile garanticen el derecho de no discriminación de remuneraciones por trabajos de igual valor entre mujeres y hombres, tal como lo...",Derecho Procesal
1191017.pdf,"de este proyecto es demostrar que el empresario proveedor abusa de la libertad de empresa cuando establece cláusulas abusivas que, por su carácter sistémico, afectan a toda una categoría de consumidores. La investigación pretende explorar la materia en la jurisprudencia de los tribunales superiores de justicia, las sentencias representativas de primera instancia que no fueron objeto de recursos, los acuerdos conciliatorios aprobados judicialmente, las mediaciones colectivas del SERNAC y los contratos de adhesión representativos del sector financiero y telecomunicaciones. El tiempo acotado...",Derecho Económico y Comercial
1191093.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: El objeto de los derechos reales de goce y garantía en el Derecho Civil Chileno: viabilidad dogmática y utilidad práctica de admitir la existencia de derechos reales en cosa de propiedad del titular. Gian Franco Rosso Elorriaga Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar).",Filosofía del Derecho
1191194.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Joaquín García-Huidobro UNIVERSALIDAD Y SINGULARIDAD EN EL MUNDO VIRREINAL. ELEMENTOS PARA UNA FILOSOFÍA DEL DERECHO INDIANO Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar).",Historia del Derecho
1191349.pdf,"de este proyecto de investigación consiste en dilucidar el alcance de la relevancia que tiene el número de vidas (o de muertes) como criterio para determinar el correcto curso de acción en un caso de estado de necesidad. Los objetivos específicos del proyecto son los siguientes: (i) identificar y analizar críticamente los principales argumentos acerca de la relevancia del número de vidas para elegir acciones en casos de necesidad; (ii) efectuar un estudio general acerca de los factores o criterios que integran los juicios de proporcionalidad en el razonamiento práctico, y esclarecer el lugar...",Derecho Penal
1191518.pdf,"Objetivo general: Proveer un análisis comprensivo de las tensiones entre el principio de proporcionalidad y el ideal del Estado de Derecho, precisando la forma en que el principio satisface o no satisface las exigencias de diversas versiones centrales del Estado de Derecho (“débil” y “fuerte”). Objetivos específicos: 1) Dilucidar cómo la teoría de los desiderata del Estado de Derecho de Lon Fuller cumple un rol estratégico en la operatividad de los derechos fundamentales y en su capacidad de satisfacer valores subyacentes a distintas concepciones de Estado de Derecho. 2) Determinar la...",Derecho Político y Constitucional
1191634.pdf,"del proyecto consiste en clarificar las relaciones entre error y proceso judicial, con el fin de proponer un concepto y una taxonomía del error judicial que permita una lectura sistemática de las normas que regulan los distintos mecanismos de impugnación dentro del proceso civil y penal chilenos. Los objetivos específicos de esta investigación son cinco: 1) Explicitar conceptualmente la relación entre error y proceso a partir del desarrollo de la triple fisonomía aquí propuesta; 2) Analizar las categorías tradicionales empleadas por la teoría del derecho y la dogmática procesal para el...",Derecho Procesal
1191683.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Héctor Hernández Basualto Sub-inclusión y sobre-inclusión en el tratamiento jurídico-penal de la corrupción: el desafío de la “sintonía fina” Describa los principales puntos que se abordarán: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (se sugiere fuente Verdana tamaño 10). La investigación propuesta versa sobre el tratamiento jurídico-penal de la corrupción en Chile desde la perspectiva específica de los desafíos de delimitación entre conducta corrupta punible y conducta legítima o, en todo caso, no merecedora ni necesitada de castigo penal, en contextos en que, sin embargo, existe cierto consenso en cuanto a la procedencia y conveniencia prima facie de la...",Derecho Penal
1191729.pdf,"Contenido: RESUMEN: Nombre Inv. Responsable: Título Proyecto: Cristian Aedo Barrena Delimitación de regímenes de responsabilidad civil. Elementos y factores a considerar para una parcial unificación La presente investigación persigue determinar el papel que cumple el artículo 1558 del Código Civil en la delimitación de los regímenes de responsabilidad civil. El eje central de la distinción entre los regímenes se encuentra, a nuestro juicio, en el artículo 1558 del Código Civil, en cuanto delimita, en el ámbito contractual, los daños que las partes debieron prever a la época de celebración del mismo.",Derecho Civil
1191884.pdf,"1. OBJETIVOS GENERALES a. Identificar los criterios empleados por la Corte IDH para asignar y determinar los montos de indemnizaciones, costas y gastos que concede a las víctimas. b. Valorar la coherencia de la Corte al momento de aplicar sus criterios para determinar los montos de indemnizaciones, costas y gastos que concede a las víctimas. 2. OBJETIVOS ESPECÍFICOS a. DeterminarelconceptodevíctimautilizadoporlaCorteIDH. b. EstablecerlasmodalidadessegúnlascualeslaCorteIDHasignamontosdeindemnizaciones,costas y gastos que concede a las víctimas. c. Identificar los criterios de cuantificación de...",Derecho Internacional
11200018.pdf,"entender la evolución semántica de las políticas migratorias de Argentina, Bolivia, Chile, Colombia, Ecuador, Perú y Uruguay mediante un análisis de los paradigmas migratorios y de la relación de los factores domésticos e internacionales en su cambio. Objetivos específicos: para cumplir el objetivo general, se deberán satisfacer los siguientes objetivos específicos: 1. Generarunléxicosemánticodelosparadigmasdeseguridadydederechoshumanos. 2. Identificar un conjunto de factores que podrían estar relacionados o tener alguna influencia en la preponderancia del paradigma de seguridad sobre el de...",Derecho de los Recursos Naturales
11200048.pdf,"Contenido: RESUMEN: Describa los principales puntos que se abordarán en la propuesta: objetivos, metodología y resultados espe- rados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Evite incluir en esta sección información que le identifique, tales como: nombres, iniciales, insti- tución de pertenencia o patrocinante, links u otros antecedentes._________________________ La ley establece que la sociedad anónima cerrada puede disolverse por un motivo grave, calificado como tal por el juez o árbitro en un juicio promovido por accionistas que representen a lo menos un 20% de su capital (arts. 103 n° 5 y 105 de la Ley N° 18.046 sobre Sociedades Anónimas).",Derecho Económico y Comercial
11200066.pdf,"desarrollar una actualización del sistema filiativo chileno incorporando armónicamente la voluntad procreacional y la socio-afectividad en la regulación normativa en materia de filiación, con respeto y resguardo de los derechos esenciales de niños, niñas y adolescentes, en tanto hijos, eje central de la relación paterno o materna filial. Los objetivos específicos apuntan a:1) Examinar la normativa actualmente vigente en Chile para identificar el sustrato de la voluntad procreacional y la socio-afectividad como fuentes de filiación;2) Identificar vacíos normativos y nudos críticos;3) Analizar...",Derecho Internacional
11200092.pdf,"de analizar críticamente la calificación del título en el Registro Inmobiliario chileno con el objeto de reconfigurarla, mediante el establecimiento de un marco conformado por criterios comunes y propios que orienten el quehacer de la actividad y que permitan darle coherencia al sistema de Registro. Además, los siguientes Objs. específicos: 1. Analizar la calificación del título considerando el grado de eficacia de la inscripción y las consecuencias jurídicas que emanan del Registro en el derecho chileno y comparado; 2. Determinar y analizar los criterios comunes y propios que desde el...",Derecho del Trabajo y la Seguridad Social
11200160.pdf,"analizar los criterios judiciales en la aplicación de la costumbre indígena a los conflictos de la población aymara del norte de Chile, definiendo el nivel de cumplimiento respecto a los fines de la norma especial indígena vigente en el sistema jurídico nacional. Desde esta perspectiva se promueve una propuesta teórica - conceptual de naturaleza jurídica que propende a la ampliación y flexibilidad del ejercicio de ponderación judicial favoreciendo la identificación de lo consuetudinario en un contexto de pertenencia cultural en la modernidad. Para este propósito desarrollaremos un análisis...",Filosofía del Derecho
11200291.pdf,"Contenido: RESUMEN: Describa los principales puntos que se abordarán en la propuesta: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Evite incluir en esta sección información que le identifique, tales como: nombres, iniciales, institución de pertenencia o patrocinante, links u otros antecedentes. CREACIÓN Y REFORMA CONSTITUCIONAL MEDIANTE REGLAS DE LA MAYORÍA CALIFICADA Objeto específico de investigación del presente proyecto es la contribución de la regla de la mayoría calificada a la legitimidad de las decisiones constituyentes.",Derecho Político y Constitucional
11200294.pdf,"Contenido: RESUMEN: Crítica a la concepción soberanista del poder constituyente Este proyecto de investigación tiene por objeto someter a un análisis crítico la concepción soberanista del poder constituyente. En este sentido, se pretende someter a examen no sólo en abstracto el concepto de poder constituyente, sino que la particular concepción del poder constituyente que ha permeado la intensa discusión que en Chile se ha tenido en los últimos años acerca de los problemas de legitimación que enfrenta la constitución vigente y acerca de qué mecanismo debiera utilizarse para crear una nueva constitución. I. Objetivos En concreto, este proyecto se propone someter a examen crítico tres tesis que caracterizan a la concepción soberanista de poder constituyente.",Derecho Político y Constitucional
11200366.pdf,"de la investigación radica en formular una teoría general del régimen sancionatorio previsto en Chile para combatir las conductas elusivas, tomando como base sus fundamentos constitucionales y el conjunto del sistema legislativo en que él se inserta. La principal problemática que se abordará dice relación con la admisibilidad constitucional de establecer una sanción en los supuestos de elusión fiscal desde una perspectiva abstracta, esto es, si independientemente de la regulación que en un momento concreto tenga el ilícito en el ordenamiento jurídico chileno, la Constitución avala la...",Derecho Económico y Comercial
11200513.pdf,"del proyecto es determinar cómo una concepción de patriarcado permite dar contenido al bien jurídico protegido por el tipo del artículo 14 de la ley No 20.066 cuando sanciona la violencia psíquica, y por ende delimitar sus condiciones de tipicidad objetiva y subjetiva. Como objetivos específicos el proyecto se propone (1) elaborar una noción de bien jurídico protegido por el art. 14 de la Ley 20.066 que responda al fenómeno de la violencia patriarcal, y una noción de violencia psíquica que pueda ser comprendida como una forma de violencia entendida como violación de intereses, (2) desarrollar...",Derecho Penal
11200596.pdf,"es realizar una aproximación dogmática para construir argumentos de interpretación y aplicación de las normas tributarias chilenas que regulan los SD, determinando criterios de configuración de los conceptos que los constituyen como presupuesto de tributación, mediante el análisis de criterios de aplicación similares recogidos de la Ley del Impuesto sobre Determinados Servicios Digitales (en adelante LIDSD) española, otorgando certeza a los operadores jurídicos en el cumplimiento de las obligaciones fiscales, como una manifestación del respeto al principio de igualdad tributaria. Para el...",Derecho Económico y Comercial
11200694.pdf,"Contenido: RESUMEN: Describa los principales puntos que se abordarán en la propuesta: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Objetivo e Hipótesis: La investigación buscará responder la siguiente pregunta: “¿es idóneo el tipo penal del artículo 411 quater del Código penal chileno para responder a la fenomenología de la trata de migrantes con fines de explotación laboral?”. La hipótesis es que el tipo penal es insuficiente para responder a la fenomenología de la trata.",Derecho Penal
