filename,relevant_text_segment,assigned_subject
11200513.pdf,"i) bajo qué condiciones se vulnera el bien jurídico protegido, (ii) qué clase de conducta realiza el tipo, ni (iii) qué tipo de dolo tiene que tener el sujeto activo. En este escenario indiciario del poco apego al mandato de taxatividad que rige en el derecho penal, se contextualiza el proyecto. El objetivo general del proyecto es determinar cómo una concepción de patriarcado permite dar contenido al bien jurídico protegido por el tipo del artículo 14 de la ley No 20.066 cuando sanciona la violencia psíquica, y por ende delimitar sus condiciones de tipicidad objetiva y subjetiva. Como objetivos específicos el proyecto se propone (1) elaborar una noción de bien jurídico protegido por el art. 14 de la Ley 20.066 que responda al fenómeno de la violencia patriarcal, y una noción de violencia psíquica que pueda ser comprendida como una forma de violencia entendida como violación de intereses, (2) desarrollar una noción de violencia psíquica como “control coercitivo” y por ende explicada por la violencia familiar patriarcal e integrarla a la descripción de violencia psíquica prevista y sancionada por la Ley 20.066, (3) elaborar una interpretación de la conducta típica como constitutiva de control coercitivo, y determinar sus condiciones de tipicidad objetiva y subjetiva, y (4) examinar la práctica jurisprudencial de la Corte Suprema sobre la noción de violencia psíquica prevista en el art. 14 de la Ley 20.066 entre los años 2006- 2020. La metodología del proyecto consistirá en la elaboración de conceptos teóricos informados en la filosofía analítica y social, teoría social y estudios empíricos comparados que posibiliten un examen crítico y contextualizado de los conceptos jurídico-penales y prácticas jurisprudenciales centrales para comprender e interpretar el art. 14 de la Ley 20.066. Ya que la propuesta estará filosófica como empíricamente informada, el trabajo no puede entenderse como un trabajo completamente conceptual, sino uno moderadamente “naturalizado”, ello en razón que la propuesta apoyará las premisas en conclusiones obtenidas en investigaciones empíricas. De esta manera, como se dijo más arriba, si bien el proyecto se enmarca dentro de la tradición científica jurídico-penal estándar, pretende enriquecer el análisis dogmático tradicional de acuerdo a las perspectivas mencionadas. Para la obtención de las fuentes bibliográficas de la literatura científica correspondiente, se contará con la cooperación de un ayudante de investigación, y se recurrirá a las bases de datos y catálogos online de diferentes Universidades Chilenas y otras instituciones públicas (como la biblioteca del Congreso Nacional), se adquirirán los ensayos y los libros relevantes en formato papel o pdf (o epub cuando corresponda). El/la ayudante también cooperará para el tratamiento de la jurisprudencia, en el que se procederá, como se trata de casos de violencia intrafamiliar que pueden revelar aspectos de las vida privada de las personas, de acuerdo a las normas y principios establecidos en la Ley 19.628 sobre protección de datos personales. Por último, en cuanto a los resultados esperados, el proyecto ofrece producir 3 papers publicados en revistas de alto impacto Scopus o equivalente, en revistas nacionales y/o extranjeras, además de ...",Derecho Penal
11200596.pdf,"n y otras (PALMA, 2018), las que también tienen presencia e impacto en nuestro país. Así, este proyecto de investigación tiene como objeto de estudio los servicios digitales (en adelante SD) en el derecho tributario chileno, normativa que entró en vigor a través de la Ley no 21.210 del año 2020. El objetivo general es realizar una aproximación dogmática para construir argumentos de interpretación y aplicación de las normas tributarias chilenas que regulan los SD, determinando criterios de configuración de los conceptos que los constituyen como presupuesto de tributación, mediante el análisis de criterios de aplicación similares recogidos de la Ley del Impuesto sobre Determinados Servicios Digitales (en adelante LIDSD) española, otorgando certeza a los operadores jurídicos en el cumplimiento de las obligaciones fiscales, como una manifestación del respeto al principio de igualdad tributaria. Para el desarrollo del objetivo general se ha considerado la realización de los siguientes tres objetivos específicos: a) Determinar criterios de configuración del concepto “intermediación de servicios” como presupuesto de tributación de SD usados en Chile, mediante el análisis de los criterios de aplicación del concepto “interfaz digital” del número 4 del artículo 4 de la LIDSD española. b) Determinar criterios de configuración del concepto “suministro o entrega de contenido digital” como presupuesto de tributación de SD usados en Chile, mediante el análisis de los criterios de aplicación del concepto “servicios de transmisión de datos” del número 8 del artículo 4 de la LIDSD española. c) Determinar criterios de configuración del concepto “servicios de publicidad” como presupuesto de tributación de SD usados en Chile, mediante el análisis de los criterios de aplicación del concepto “publicidad dirigida” del número 10 del artículo 4 de la LIDSD española. 2. METODOLOGÍA La metodología de la investigación implica un estudio dogmático, considerando las tres dimensiones propuestas por ALEXY (1993): a) la analítica, esto es, el análisis sistemático-conceptual sobre el derecho válido, con la finalidad de formular la fundamentación y argumentación de los criterios de configuración de los conceptos que constituyen los SD como presupuesto de tributación en Chile. Para esto se indagará en la LIDSD española, considerando los aciertos y desaciertos del sistema tributario español, convirtiéndolo en un útil referente para lograr la aproximación dogmática para interpretar y aplicar la normativa chilena. b) La dimensión empírica, busca conocer los elementos de hecho a ser involucrados, en el sistema de fuentes, como jurídicamente relevantes (ALDUNATE, 2008), para lo cual se atenderá a la experiencia del de la OCDE y, especialmente, de la UE. c) La dimensión normativa: con relación a esta dimensión se revisará la praxis jurídica en la fundamentación de sentencias del Tribunal de Justicia de la Unión Europea (TJUE), en donde se han presentado casos emblemáticos de jurisprudencia española como fue el caso C-434/15 contra la multinacional Ubert Systems Spain S.L. Esta dimensión normativa será complementada con el modelo de análisis lógico de sistemas normativos propuesto por ALCHOURRÓN y BULYGIN (1974). 3. RESULTADOS ESPERADOS La normativa que regula los SD ya es derecho válido a partir de este año ...",Derecho Económico y Comercial
11200694.pdf,"Contenido: RESUMEN: Describa los principales puntos que se abordarán en la propuesta: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Objetivo e Hipótesis: La investigación buscará responder la siguiente pregunta: “¿es idóneo el tipo penal del artículo 411 quater del Código penal chileno para responder a la fenomenología de la trata de migrantes con fines de explotación laboral?”. La hipótesis es que el tipo penal es insuficiente para responder a la fenomenología de la trata. Para alcanzar la respuesta (hipótesis), la investigación se desarrollará a través de las siguientes etapas (objetivos): 1) Identificar y recopilar la jurisprudencia sobre el particular; determinar patrones de índole criminológico que puedan contribuir a una adecuada interpretación del tipo penal del art. 411 quater; 2) Analizar, en los casos que se hayan ventilado en sede judicial, las herramientas dogmáticas —la línea argumentativa— de la acusación y la defensa. 3) Determinar si hay correspondencia entre la argumentación precedente y la que se pueda desprender a partir de delitos afines en Derecho comparado; desde ahí, precisar las posibilidades interpretativas que ofrece el art. 411 quater. 4) Identificar las razones de las diferencias entre el tipo penal del art. 411 quater y el sugerido por el Protocolo de Palermo que admite como posibilidad recurso al instrumento no-penal para contrarrestar más eficazmente el fenómeno en cuestión. 5) A partir de las conclusiones anteriores, identificar los contenidos indispensables que, de lege ferenda, debería reunir un nuevo tipo de tráfico ilegal de inmigrantes con fines de explotación laboral para un nuevo Código penal chileno. Metodología. La metodología para desarrollar este proyecto de investigación comprende: Método hermenéutico: análisis del Derecho penal vigente en materia de trata ilegal de migrantes y las posibilidades de interpretación ofrecidas por el tipo penal. Para el efecto se emplearán los medios interpretativos gramatical, sistemático y, sobre todo, teleológico. Este método es funcional al proyecto porque a través de estos mecanismos de interpretación se dilucidará de mejor modo el problema que este tipo penal suscita para la cuestión del bien jurídico. Método dogmático: se trazarán las relaciones entre el artículo 411 quater y las normas que resulten pertinentes (penales y extrapenales) para una más completa interpretación del tipo. Este método es funcional al objetivo porque a través de él será posible despejar alguna de las dudas que la interpretación el tipo exhibe a partir de sus relaciones con otras ramas del Derecho, como las nociones de aprovechamiento de una situación de vulnerabilidad o de dependencia de la víctima (si, por ejemplo, coincide o no dicha cláusula con la noción de “temor reverencial”). Análisis jurisprudencial, es decir, evaluar el contenido de la jurisprudencia referida al tipo penal. Este método es funcional al objetivo porque permitirá advertir el grado del impacto de las herramientas dogmáticas disponibles a nivel local en la práctica; eventualmente, asimismo, del análisis de la jurisprudencia será posible advertir aspectos del tipo penal cuya determinación sea ambigua o ...",Derecho Penal
11200782_Resumen_Abstract.pdf,"Contenido: RESUMEN DEL PROYECTO El diseño legal de nuestro sistema de ejecución civil individual favorece la posición de los acreedores. Como consecuencia de ello, los deudores cuentan con escasos mecanismos de protección de sus derechos, en particular aquellos más vulnerables que soportan de manera desproporcionada los efectos e impacto de este diseño legal. Este problema de desbalance en el tratamiento de los derechos limita las posibilidades de prevenir en forma oportuna el sobreendeudamiento y la insolvencia personal, situación que probablemente empeorará en el contexto actual, post estallido social y pandemia del coronavirus. Dado que esta temática se inserta en el contexto de una reforma procesal civil pendiente, resulta necesario investigar si el diseño legal de los sistemas concursales de personas deudoras (no empresas deudoras), basado en la filosofía del fresh start, podría aplicarse en procesos de ejecución civil individual y contribuir a mitigar y remediar el desequilibrio en el tratamiento de los derechos de los deudores. La hipótesis que se plantea es que el actual sistema de ejecución civil individual chileno no otorga un tratamiento equilibrado a acreedores y deudores y que, a partir de la experiencia comparada en materia concursal, es posible diseñar un sistema más balanceado que sea capaz de proteger tanto el derecho de los primeros a obtener la satisfacción oportuna de sus créditos como el derecho de los segundos a la vida privada y familiar, a la honra y a la propiedad. El propósito de esta investigación es analizar el diseño legal y funcionamiento de distintos sistemas concursales de personas deudoras desarrollados en el ámbito comparado con el objetivo de identificar elementos que permitan orientar una reforma destinada a mitigar y remediar el desequilibrio en el tratamiento de los derechos de acreedores y deudores en procesos de ejecución civil individual en Chile. Para ello, el proyecto identificará las reglas y criterios de protección de los derechos de las personas deudoras y su aplicación práctica en materia concursal en dos países que representan distintos enfoques en este ámbito (EEUU y Finlandia); evaluará críticamente si ciertas instituciones del derecho concursal como del derecho procesal civil chileno incorporan reglas y criterios de protección de los derechos de los deudores en su diseño legal y cómo ha sido su aplicación práctica; y establecerá cuáles debieran ser las reglas y criterios de protección de los derechos de los deudores que permitirían que el sistema de ejecución civil individual otorgue un tratamiento balanceado a acreedores y deudores en Chile. La metodología de investigación será la propia de las ciencias jurídicas, esto es, el método dogmático de análisis de normas jurídicas (legales, reglamentarias y otras) con el objeto de comprender lo que el derecho vigente establece y sus posibles interpretaciones. El análisis crítico de la normativa se complementará con una revisión y análisis de literatura nacional, comparada e internacional sobre el objeto de la investigación. Se utilizará también el método empírico sobre la base de entrevistas a actores claves en el ámbito nacional y de la revisión de expedientes judiciales. Al término del ...",Derecho Económico y Comercial
11200904_Resumen_Abstract.pdf,"Contenido: PROPOSAL ABSTRACT: Describe the main issues to be addressed: goals, methodology and expected results. The maximum length for this section is 1 page (Must use letter size, Verdana size 10 or similar). Avoid including in this section information that identifies you, such as names, initials, membership or sponsoring institutions, links or other backgrounds. Why are the high courts increasingly intervening in the crafting and implementation of public policies, sometimes assuming legislative tasks? To answer this question, the proposed research explores how imperfect legislative agreements (hereinafter, ILA) constitute an opportunity for high courts to intervene in policy-making. The project argues that, in certain situations, the legislator avoids solving some important conflicts of interest, either by maintaining regulatory criteria considered inefficient or simply by reaching regulatory agreements with a high degree of indeterminacy. This occurs in scenarios in which there are high transaction costs in the legislative process, and even when the Executive and members of Congress assume that their regulatory response is highly unsatisfactory. Specifically, this work hypothesizes that the ILAs would be a kind of critical juncture that constitutes an opportunity for the intervention of the high courts −courts of appeals, supreme courts, constitutional courts −interested in consolidating their authority in the public sphere. These would be particularly relevant in current Latin American democracies, characterized by an increasingly greater degree of political fragmentation and a consequential role of high courts in the last decades. The goal of this research is to theoretically develop the concept of imperfect legislative agreements (ILAs), and to provide empirical evidence on how these have significantly influenced judicial behavior in contexts of political fragmentation within the context of Latin America. First, the research will define ILA as a specific variable for empirical observation. According to the preliminary evidence, the work will state that said ILAs follow a common pattern: a) they are normative solutions which political actors in Congress and the Executive generally understand as suboptimal, such as the permanence of highly inefficient regulatory criteria or legislative agreements with a high degree of indeterminacy; b) they occur in a context of increasing political fragmentation at least in the referred matters, since there is no regime or coalition capable of imposing a more complete regulatory solution due to high transaction costs; and, c) they are usually structured by conflicts of interest that, given the unsatisfactory nature of the legislative response, are resolved by the intervention of the courts. Second, the research will address at least two existing case studies in Latin America. To do this, three options are tentatively proposed. Beside considering their political relevance and the availability of sources, I have selected each of them because they match the ILA hypothesis, but through different kinds of judicial responses. The first case study refers to how the Argentine Supreme Court, in a single decision, resolved the lack of allocation of administrative responsibilities and budgetary resources in compliance with environmental regulations, organizing a complete plan to decontaminate the Riachuelo-Matanza river in the La Plata basin in the ...",Sin clasificación
11200968_Resumen_Abstract.pdf,"n de empleo en los contratos de plataforma digital? Frente a este planteamiento, nuestra hipótesis es que las exigencias del algoritmo para la ejecución del trabajo de las plataformas digitales es una forma de subordinación laboral que permite reconocer una relación de empleo en estos contratos. El Objetivo General del proyecto es evaluar críticamente las características de la subordinación y dependencia laboral en el ámbito de los contratos de plataforma digital, como forma de reconocer la relación de empleo en estas relaciones contractuales. Para alcanzar este objetivo general se sistematizará las características de la subordinación en materia laboral; luego se analizará las exigencias de las plataformas digitales para la ejecución del trabajo “uberizado”; y por fin se discutirá los criterios que conforman la subordinación por algoritmo. El estudio que se desarrollará tendrá como principal herramienta metodológica el enfoque dogmático y comparado, que permitirá construir una teoría consistente de la subordinación por algoritmo en los contratos de trabajo por plataformas digitales. La comparación es trascendente por la forma como otros países están lidiando con el reconocimiento de relaciones de empleo en los contratos por plataformas digitales. En síntesis, se busca contribuir con la determinación de una subordinación por algoritmo en el Derecho del Trabajo que permitirá argumentar sobre la factibilidad del reconocimiento de una relación de empleo en esta relación laboral. Los productos comprometidos son: la publicación de 1 artículo indexado (ISI o Scopus) y un seminario internacional para divulgar los resultados de este estudio.",Derecho del Trabajo y la Seguridad Social
11201117_Resumen_Abstract.pdf,"Contenido: V. (i) (ii) (iii) RESULTADOS ESPERADOS Explicar los motivos y las causas que han llevado a la jurisprudencia a utilizar tan intensamente y en un periodo tan corto, la noción de pérdida de la chance. Racionalizar la aplicación de la noción de pérdida de la chance en el ordenamiento chileno (determinando condiciones de aplicación y métodos de avaluación), distingüendo los distintos tipos de casos. En cuanto a los productos cada uno de los tres (3) años de ejecución, se contempla la publicación de un artículo en una revista indexada (WoS, Scopus o Scielo) y la participación del investigador en encuentros académicos anuales (v.gr., Jornadas Nacionales de Derecho Civil). Además, en el tercer año se propone la realización de una actividad de difusión de la investigación, incluso con carácter multidisciplinar, con la presencia de académicos chilenos y extranjeros, con convocatoria gratuita y abierta. Concurso de Proyectos de Iniciación en Investigación 2020 RESUMEN I. TÍTULO DEL PROYECTO: LA TEORÍA DE LA PÉRDIDA DE LA CHANCE EN EL DERECHO CHILENO DE DAÑOS II. PROBLEMA ABORDADO POR EL PROYECTO: En los últimos años cierto sector de la doctrina y la jurisprudencia se ha pronunciado a favor de introducir una nueva categoría de daño que se denomina pérdida de la chance. Esta noción, —básicamente—, permite indemnizar las probabilidades de obtener una ganancia (o beneficio) o de evitar una pérdida, que no son suficientemente serias como para ser indemnizadas con las categorías tradicionales de nuestro sistema. A la admisibilidad, condiciones de aplicación, y a la definición de los contornos de la noción de la pérdida de una chance se refiere este proyecto. III. OBJETIVOS GENERAL. Racionalizar la comprensión y la aplicación de la noción de la pérdida de la chance en el ordenamiento jurídico chileno. OBJETIVOS ESPECÍFICOS. (i) Explicar la exponencial y no razonada jurisprudencia actual de la Corte Suprema en materia de chance; (ii) Elaborar criterios para delimitar los casos de chance impropio de los casos de chance propios; (iii) Elaborar criterios para determinar los casos de auténtica incertidumbre causal; (iv) Determinar las razones y condiciones que permitan excepcionar la aplicación del principio de indivisibilidad causal en los casos de pérdida de una chance. IV. METODOLOGÍA En el desarrollo del proyecto se utilizará el método dogmático, la metodología analítica y la metodología de análisis comparado. El método dogmático se basa en la primera necesidad de configurar adecuadamente todos los extremos que conforman el objeto de estudio desde el análisis del vínculo causal como presupuesto de la responsabilidad civil y el concepto que se ha dado de “incertidumbre causal”. La metodología analítica permitirá identificar los distintos tipos de casos que pueden ser descritos como aquellos en los que existe una verdadera incertidumbre causal, y determinar los elementos y criterios que configuran cada tipo. Por su parte, el análisis comparado, buscando la “equivalencia funcional” o el “núcleo común” que puede existir entre los diversos casos de pérdida de chance utilizados en el Derecho comparado y en el Derecho chileno.",Derecho Civil
11201188_Resumen_Abstract.pdf,"spectos colectivos presente en la poesía mapuche porque los derechos de autor tienen como objeto fundamental la explotación mercantil de las obras como proceso individual, y no el reconocimiento ni protección de los elementos colectivos presentes en las creaciones artísticas y culturales mapuche El Objetivo General del proyecto es evaluar críticamente la adecuación de las normas de derecho de autor para proteger los elementos colectivos presentes en la poesía mapuche. Los objetivos específicos del proyecto son fundamentalmente tres, con pretensión de cierta consecución en el tiempo: Objetivo específico 1 – Identificar los elementos colectivos presentes en la poesía mapuche de los autores de tres antologías de poesía mapuche contemporánea. Objetivo específico 2 – Analizar si las normas de derecho de autor resultan adecuadas para proteger los elementos colectivos identificados en la poesía mapuche previamente revisada. Objetivo específico 3 – Recomendar posibles soluciones de carácter jurídico-político para garantizar el reconocimiento y protección de los elementos colectivos en la poesía mapuche. La metodología utilizada será: Para el Objetivo Específico 1 y 2: técnicas procedentes de la etnografía que permitan una aproximación a los sujetos de estudio. Se recurrirá principalmente a entrevistas en profundidad. Además, para el Objetivo Específico 2 se utilizará metodología analítica jurídica, sin excluir el recurso a una perspectiva interdisciplinar filosófica y sociohistórica adecuada y el análisis y consulta de archivos (Sistema Nacional de Bibliotecas Públicas, Servicio Nacional de Patrimonio Cultural). Para el Objetivo Específico 3: aproximación analítica jurídica tomando en consideración la perspectiva filosófica y política del proyecto, que permita recomendar soluciones a los problemas identificados a raíz de los dos primeros objetivos. Ello contará con los puntos de vista de los poetas mapuche obtenidos a través del trabajo de campo. Los resultados esperados son la confirmación o rechazo de la hipótesis, así como, en caso de confirmarse, la elaboración de recomendaciones para abordar los problemas identificados durante el proceso de investigación. Los resultados se difundirán a través de actividades como ponencias en congresos, seminarios, redacción de artículos y presentación de los resultados en talleres y charlas de organizaciones vinculadas a los procesos creativos de poesía mapuche en Chile. Concurso de Proyectos de Iniciación en Investigación 2020",Derecho Procesal
11201215_Resumen_Abstract.pdf,"Contenido: RESUMEN: La propuesta de investigación se denomina: “La falta de servicio como título general de imputación subjetiva de la responsabilidad patrimonial de la Administración, y la admisión jurídica de otros títulos excepcionales de imputación, distintas a la falta de servicio”. Este planteamiento tiene por objeto establecer, a partir del análisis del artículo 4° de la Ley Orgánica Constitucional de Bases Generales de la Administración del Estado (en adelante LOCBGAE) en relación lógica y sistemática con otros preceptos normativos, que jurídicamente es admisible incluir para, casos excepcionales, otros títulos de imputación de responsabilidad aceptados en Derecho Comparado, tales como la teoría del sacrificio especial o de la alteración de la igualdad antes las cargas públicas, que permitan resolver casos de graves y excepcionales daños sufridos por los administrados debido a la actividad administrativa del Estado y que no están ni pueden estar cubiertas por la hipótesis de falta de servicio, de tal manera que puedan ser reparables por la Administración. Lo anterior es novedoso porque no se pretende revivir las discusiones pasadas de la doctrina en torno a la clásica discusión sobre responsabilidad subjetiva y objetiva como título general de imputación, sino que simplemente se busca dar cobertura normativa a casos muy restringidos, fundados en daños anormales, graves y excepcionales sufridos por un administrado y que justificarían, por ejemplo, la aplicación de la teoría del sacrificio especial o la ruptura de la igualdad ante las cargas públicas, títulos de imputación que en Chile no tienen solución por cuanto nuestra Corte Suprema señala que no existe norma que contemple tales hipótesis. Finalmente, este proyecto se hace cargo de cada una de las críticas que recibió en una presentación anterior y que se aclaran en el punto siete de esta propuesta. HIPOTESIS: Frente al problema de un solo título de imputación subjetiva (falta de servicio) para hacer efectiva la responsabilidad patrimonial de la Administración, según como lo ha resuelto la jurisprudencia de la Corte Suprema, con los consiguientes perjuicios para las víctimas de daños graves, anormales y excepcionales ocasionados por actividad estatal no constitutiva de falta de servicio, y ante la pregunta de investigación referente a si, en nuestro ordenamiento jurídico chileno puede admitirse jurídicamente la inclusión de otros títulos de imputación de responsabilidad estatal diferentes al de la falta de servicio, la afirmación provisional (hipótesis) establece que: El artículo 4° de la LOCBGAE admite jurídicamente otros títulos excepcionales de imputación, distintos a la falta de servicio, manteniéndose la falta de servicio como título general de imputación subjetiva de la responsabilidad patrimonial de la Administración. En efecto, el artículo 4° antes citado al disponer que “El Estado será responsable por los daños que causen los órganos de la Administración en el ejercicio de sus funciones, sin perjuicio de las responsabilidades que pudieren afectar al funcionario que los hubiere ocasionado”, no está solamente reproduciendo un principio general de responsabilidad patrimonial del Estado, ni implica sólo una cláusula general de responsabilidad (que también lo es), sino que autoriza y admite jurídicamente la inclusión -con ...",Derecho Civil
11201297_Resumen_Abstract.pdf,"Contenido: RESUMEN: Describa los principales puntos que se abordarán en la propuesta: objetivos, metodología y resultados esperados. La extensión máxima de esta sección es de 1 página tamaño carta (utilizar formato tamaño carta, fuente Verdana tamaño 10 o similar). Evite incluir en esta sección información que le identifique, tales como: nombres, iniciales, institución de pertenencia o patrocinante, links u otros antecedentes. La investigación que se propone versa acerca de uno de los presupuestos del Estado social, esto es, la “procura existencial” (Daseinsvorsorge en su originaria denominación alemana), como categoría teleológica que rige la acción pública desplegada a través de la Administración del Estado, y que alude a las prestaciones de servicio y producción de bienes de relevancia vital para los individuos. Esta categoría dogmática del Derecho administrativo, que es un elemento clave del Estado social, es aplicable, asimismo, como principio rector en la regulación de ciertos ámbitos de referencia en los cuales existe un interés público, y en especial, cuando en virtud de la privatización de las actividades originalmente de procura existencial, estas han dejado de ser llevadas a cabo directamente por el Estado. Los objetivos generales de la investigación son los siguientes: (i) proporcionar una comprensión dogmática de la categoría jurídica “procura existencial”, como un elemento de un Estado que persigue fines sociales, paradigmáticamente, del Estado social de Derecho, delineando sus características teóricas y prácticas; y (ii) inducir y generar un modelo —una matriz— de procura existencial, cuyo medio de origen es una economía indudablemente capitalista e industrializada como la alemana, para presentarlo como una elaboración idónea que justifica la intervención estatal en ciertas áreas, traduciéndola al Derecho chileno, formulando aplicaciones concretas en algunos ámbitos de referencia, como los de la vivienda, agua potable y el transporte. En cuanto a los objetivos específicos de la investigación, estos consisten en: (a) Introducir la categoría “procura existencial” en el Derecho Público chileno, considerando el escenario actual en que está en discusión el modelo de Estado subsidiario vigente; (b) sistematizar de la teoría de la procura existencial que opere en distintos niveles y ámbitos de actividad, identificando los instrumentos con los cuales opera; (c) demostrar que la procura existencial es un dispositivo útil para justificar una intensa intervención estatal en varias áreas, como la vivienda, producción de agua potable y transportes; y (d) operativizar la categoría de la Daseinsvorsorge en el Derecho público chileno, mostrando los diversos ajustes que en ciertos sectores deben llevarse a cabo sobre su base, en lo que pueden ser propuestas de lege ferenda. Como resultado de la investigación, se pretende comprobar las siguientes tres hipótesis: (1) La procura existencial es un dispositivo jurídico que permite determinar cuándo en una determinada actividad o producción de bienes ha de considerarse el interés común como limite a la iniciativa económica, en un sentido tal que dicha actividad o producción deban excluirse de la dinámica del mercado, siendo procedente su prestación o producción directamente por la Administración, o a través de terceros intensamente controlados administrativamente; (2) La procura existencial es un ...",Filosofía del Derecho
11201308_Resumen_Abstract.pdf,"n esta sección información que le identifique, tales como: nombres, iniciales, institución de pertenencia o patrocinante, links u otros antecedentes. Proyecto: “El Dolo en el Derecho penal: concepto y límites”. Presentación: El punto de partida de este proyecto de investigación es el siguiente dato objetivo: la constatación de la existencia de un cuestionamiento constante en diversos sistemas jurídicos, tanto a nivel doctrinal como jurisprudencial, sobre el concepto y límites del dolo. El problema jurídico que se plantea es el siguiente: La ausencia de determinación del contenido y límites precisos del dolo en el Derecho Penal sustantivo puede causar serios problemas al momento de determinar la responsabilidad penal en el plano procesal. Por el contrario, un Derecho penal racional y coherentemente fundamentado debe considerar que la pena es el resultado de la intensidad del compromiso personal con la contravención de normas de comportamiento. Objetivos. Objetivo general. El objetivo general de este proyecto es profundizar el estudio del dolo y sus límites, incluyendo una perspectiva dogmática propia de la ciencia penal, con énfasis en la determinación de modelos de imputación coherentes con las hipótesis apuntadas, que puedan servir para su implementación por la praxis jurisprudencial de nuestro contexto jurídico-cultural. Objetivos específicos. Los objetivos específicos vinculados al objetivo general son los siguientes: 1.- Realizar una caracterización de los criterios doctrinales que sirven para la distinción del dolo y la imprudencia, tanto en los modelos apuntados como en el sistema chileno. 2.- Evaluar la eficacia de los modelos adoptados en el Derecho Penal alemán, español e italiano para la valoración de experiencia jurídica chilena. 3.- Llevar a cabo un análisis jurisprudencial crítico que permita evaluar las tendencias actuales y los criterios que sirven para probar el dolo (paradigmas de imputación y prueba inferencial). 4.- Definir estrategias de actuación (lege lata) para una construcción la imputación subjetiva a título de dolo que aspire a ofrecer: (a) una distinción clara con la imprudencia, lo que conlleva su necesaria conceptualización y fundamento normativo, teniendo en cuenta los paradigmas actuales (tendencias del derecho penal continental); (b) reglas que sirvan para la atribución de responsabilidad penal a título de dolo, como criterios uniformes valorativos que consideren el estado actual de la teoría de la imputación subjetiva; (c) proponer nuevas soluciones de derecho positivo en especial en las cuestiones interpretativas que se siguen planteando en el debate científico actual. 5.- Someter a la comunidad jurídica nacional e internacional las soluciones dogmáticas propuestas en relación con el dolo y sus opciones interpretativas. Metodología. La metodología de investigación comprenderá: (1) El método hermenéutico: análisis de la regulación positiva vigente en relación con el dolo y sus opciones interpretativas. (2) El método dogmático: análisis y sistematización documental sobre el fundamento filosófico y normativo del dolo y la imprudencia, doctrina, evolución histórica y jurisprudencial para la construcción de límites. (3) Exploración documental jurisprudencial: evaluar la relevancia de los planteamientos jurisprudenciales, sus significados, implicaciones y límites en el ámbito continental estudiando los casos límites entre dolo e imprudencia. (4) Método comparativo: estudio y evaluación de ...",Derecho Penal
11201330_Resumen_Abstract.pdf,"Contenido: RESUMEN PROYECTO LAS ADOLESCENTES PRIVADAS DE LIBERTAD EN CHILE, GÉNERO Y DERECHOS HUMANOS: BASES PARA LA MEJORA DE UNA POLÍTICA SECTORIAL Objetivo general: analizar si el tratamiento penitenciario que las adolescentes privadas de libertad en régimen cerrado reciben en el actual sistema de responsabilidad penal adolescente (LRPA) incorpora la perspectiva de género y los estándares internacionales de derechos humanos. Tomando este marco de referencia se analizará la situación de las adolescentes que están privadas de libertad en régimen cerrado, con el objeto de examinar, críticamente, las falencias normativas y prácticas que se identificen en la ejecución de la privación de libertad, para proponer mejoras en la política penitenciaria vigente. Objetivos específicos: 1.- Analizar el tratamiento penitenciario que las adolescentes privadas de libertad en régimen cerrado reciben en el actual sistema de responsabilidad penal adolescente. Para ello, se revisará la información levantada por las CISC, la legislación, políticas y programas existentes en la materia. 2.-Analizar si la normativa, políticas y programas nacionales incorporan la perspectiva de género y los estándares internacionales de derechos humanos. Asimismo, se analizarán estudios internacionales que permitan hacer un análisis comparado. 3.-Analizar las apreciaciones que tienen los actores involucrados en el Sistema de Responsabilidad Penal Adolesente (educadoras de trato directo en régimen cerrado, directores/jefaturas técnicas en los centros de régimen cerrado, encargados/as de programas de régimen cerrado, jueces, fiscales y defensores). 4.- Analizar las apreciaciones que tienen las adolesentes privadas de libertad en régimen cerrado a nivel nacional sobre su experiencia en el Sistema de Responsabilidad Penal Adolesente en lo referente a presencia de estereotipos, derecho a la salud, derechos sexuales y reproductivos y maternidad. 5.- Analizar los problemas que se identifican en el sitema penitenciario respecto de ellas. 6.- Analizar buenas prácticas internacionales de tratamiento penitenciario de adolescentes privadas de liebrtad con el objeto de estudiar su replicabilidad en Chile y su incorporación en las propuestas de mejora. 7.- Proponer mejoras en la política penitenciaria vigente, según los hallazgos del estudio. Metodología -El presente estudio hará una exhaustiva revisión documental, de la legislación vigente y la bibliografía más relevante y actualizada que tenga relación con el problema de investigación. -Se propone producir información cualitativa a partir de la técnica de las entrevistas semi–estructuradas a distintos actores del sistema de justicia juvenil, y de la técnica de las entrevistas en profundidad a adolescentes que estén cumpliendo sanción en régimen cerrado en el marco de la Ley N°20.084. -Asimismo se analizarán buenas prácticas internacionales para lo cual se revisarán documentos y normativas de los países seleccionados y se realizarán breves estancias de investigación. Resultados Esperados Como se ha señalado, el presente estudio analizará la situación de las adolescentes que están privadas de libertad en régimen cerrado, con el objeto de examinar, críticamente, las falencias normativas y prácticas que se identificen en la ejecución de la privación de libertad, para proponer mejoras en la política penitenciaria vigente. Por tanto se trata de un estudio relevante que busca impactar en el diseño y ejecución de una política penitenciaria para ...",Derecho Penal
